ProductKey,ProductItemCode,Product Name,Sub Category,Product Category,Product Color,Price,Product Size,Product Line,Product Model Name,Product Description,Product Status
1,AR-5381,Adjustable Race,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
2,BA-8327,Bearing Ball,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
3,BE-2349,BB Ball Bearing,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
4,BE-2908,Headset Ball Bearings,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
5,BL-2036,Blade,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
6,CA-5965,LL Crankarm,Unknown,Unknown,Black,0.00,Unknown,Un,Unknown,Unknown,Current
7,CA-6738,ML Crankarm,Unknown,Unknown,Black,0.00,Unknown,Un,Unknown,Unknown,Current
8,CA-7457,HL Crankarm,Unknown,Unknown,Black,0.00,Unknown,Un,Unknown,Unknown,Current
9,CB-2903,Chainring Bolts,Unknown,Unknown,Silver,0.00,Unknown,Un,Unknown,Unknown,Current
10,CN-6137,Chainring Nut,Unknown,Unknown,Silver,0.00,Unknown,Un,Unknown,Unknown,Current
11,CR-7833,Chainring,Unknown,Unknown,Black,0.00,Unknown,Un,Unknown,Unknown,Current
12,CR-9981,Crown Race,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
13,CS-2812,Chain Stays,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
14,DC-8732,Decal 1,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
15,DC-9824,Decal 2,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
16,DT-2377,Down Tube,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
17,EC-M092,Mountain End Caps,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
18,EC-R098,Road End Caps,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
19,EC-T209,Touring End Caps,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
20,FE-3760,Fork End,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
21,FH-2981,Freewheel,Unknown,Unknown,Silver,0.00,Unknown,Un,Unknown,Unknown,Current
22,FW-1000,Flat Washer 1,Unknown,Unknown,NA,0.00,Unknown,Un,Unknown,Unknown,Current
